,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Oriëntatie,Woningtype,Klimaatbestand,Ruimtetype,GTO
195,0.5,Goed,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,109
197,0.7,Goed,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,148
199,0.3,Slecht,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,42
201,0.5,Slecht,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,49
203,0.7,Slecht,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,58
205,0.3,Matig,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,48
207,0.5,Matig,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,55
209,0.7,Matig,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,67
211,0.3,Goed,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,63
213,0.5,Goed,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,68
215,0.7,Goed,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,80
217,0.3,Slecht,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
219,0.5,Slecht,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,11
221,0.7,Slecht,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,32
223,0.3,Matig,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
225,0.5,Matig,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,16
227,0.7,Matig,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,41
229,0.3,Goed,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
231,0.5,Goed,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,29
233,0.7,Goed,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,76
235,0.3,Slecht,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
237,0.5,Slecht,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
239,0.7,Slecht,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
241,0.3,Matig,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
243,0.5,Matig,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
245,0.7,Matig,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
247,0.3,Goed,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
249,0.5,Goed,0.3,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
