,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Oriëntatie,Woningtype,Klimaatbestand,Ruimtetype,GTO
15071,0.7,Matig,0.6,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,323
15075,0.3,Goed,0.6,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,218
15079,0.5,Goed,0.6,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,326
15083,0.7,Goed,0.6,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,437
15087,0.3,Slecht,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,101
15091,0.5,Slecht,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,117
15095,0.7,Slecht,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,134
15099,0.3,Matig,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,129
15103,0.5,Matig,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,165
15107,0.7,Matig,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,197
15111,0.3,Goed,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,167
15115,0.5,Goed,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,209
15119,0.7,Goed,0.3,8:00 tot 22:00,Binnen goed,West,Tussenwoning,1,LIVINGROOM,265
15123,0.3,Slecht,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15127,0.5,Slecht,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15131,0.7,Slecht,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,2
15135,0.3,Matig,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15139,0.5,Matig,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,20
15143,0.7,Matig,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,62
15147,0.3,Goed,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,13
15151,0.5,Goed,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,84
15155,0.7,Goed,0.6,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,230
15159,0.3,Slecht,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15163,0.5,Slecht,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15167,0.7,Slecht,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15171,0.3,Matig,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15175,0.5,Matig,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15179,0.7,Matig,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,7
15183,0.3,Goed,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15187,0.5,Goed,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,9
15191,0.7,Goed,0.3,TO-juli,Buiten,West,Tussenwoning,1,LIVINGROOM,32
15195,0.3,Slecht,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15199,0.5,Slecht,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15203,0.7,Slecht,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,2
15207,0.3,Matig,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15211,0.5,Matig,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,17
15215,0.7,Matig,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,58
15219,0.3,Goed,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,6
15223,0.5,Goed,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,55
15227,0.7,Goed,0.6,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,187
15231,0.3,Slecht,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15235,0.5,Slecht,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15239,0.7,Slecht,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15243,0.3,Matig,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15247,0.5,Matig,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15251,0.7,Matig,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,7
15255,0.3,Goed,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,0
15259,0.5,Goed,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,6
15263,0.7,Goed,0.3,21:00 tot 7:00,Buiten,West,Tussenwoning,1,LIVINGROOM,25
15267,0.3,Slecht,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,101
15271,0.5,Slecht,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,118
15275,0.7,Slecht,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,134
15279,0.3,Matig,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,134
15283,0.5,Matig,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,170
15287,0.7,Matig,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,213
15291,0.3,Goed,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,179
15295,0.5,Goed,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,232
15299,0.7,Goed,0.6,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,298
15303,0.3,Slecht,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,90
15307,0.5,Slecht,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,93
15311,0.7,Slecht,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,97
15315,0.3,Matig,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,107
15319,0.5,Matig,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,127
15323,0.7,Matig,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,150
15327,0.3,Goed,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,142
15331,0.5,Goed,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,171
15335,0.7,Goed,0.3,8:00 tot 22:00,Buiten,West,Tussenwoning,1,LIVINGROOM,196
15339,0.3,Slecht,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15343,0.5,Slecht,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,5
15347,0.7,Slecht,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,31
15351,0.3,Matig,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,8
15355,0.5,Matig,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,76
15359,0.7,Matig,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,170
15363,0.3,Goed,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,46
15367,0.5,Goed,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,182
15371,0.7,Goed,0.6,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,381
15375,0.3,Slecht,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15379,0.5,Slecht,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15383,0.7,Slecht,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15387,0.3,Matig,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15391,0.5,Matig,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,3
15395,0.7,Matig,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,17
15399,0.3,Goed,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15403,0.5,Goed,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,22
15407,0.7,Goed,0.3,TO-juli,Overstek,West,Tussenwoning,1,LIVINGROOM,56
15411,0.3,Slecht,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15415,0.5,Slecht,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,5
15419,0.7,Slecht,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,28
15423,0.3,Matig,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,7
15427,0.5,Matig,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,69
15431,0.7,Matig,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,162
15435,0.3,Goed,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,26
15439,0.5,Goed,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,139
15443,0.7,Goed,0.6,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,292
15447,0.3,Slecht,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15451,0.5,Slecht,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15455,0.7,Slecht,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15459,0.3,Matig,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15463,0.5,Matig,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,2
15467,0.7,Matig,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,14
15471,0.3,Goed,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,0
15475,0.5,Goed,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,13
15479,0.7,Goed,0.3,21:00 tot 7:00,Overstek,West,Tussenwoning,1,LIVINGROOM,45
15483,0.3,Slecht,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,95
15487,0.5,Slecht,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,129
15491,0.7,Slecht,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,162
15495,0.3,Matig,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,148
15499,0.5,Matig,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,201
15503,0.7,Matig,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,266
15507,0.3,Goed,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,197
15511,0.5,Goed,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,288
15515,0.7,Goed,0.6,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,371
15519,0.3,Slecht,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,76
15523,0.5,Slecht,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,90
15527,0.7,Slecht,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,100
15531,0.3,Matig,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,104
15535,0.5,Matig,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,134
15539,0.7,Matig,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,162
15543,0.3,Goed,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,148
15547,0.5,Goed,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,178
15551,0.7,Goed,0.3,8:00 tot 22:00,Overstek,West,Tussenwoning,1,LIVINGROOM,203
15553,0.3,Slecht,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,44
15555,0.5,Slecht,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,85
15557,0.7,Slecht,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,150
15559,0.3,Matig,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,48
15561,0.5,Matig,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,102
15563,0.7,Matig,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,194
15565,0.3,Goed,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,69
15567,0.5,Goed,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,177
15569,0.7,Goed,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,337
15571,0.3,Slecht,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,25
15573,0.5,Slecht,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,32
15575,0.7,Slecht,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,47
15577,0.3,Matig,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,23
15579,0.5,Matig,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,34
15581,0.7,Matig,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,53
15583,0.3,Goed,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,32
15585,0.5,Goed,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,44
15587,0.7,Goed,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,70
15589,0.3,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,42
15591,0.5,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,77
15593,0.7,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,124
15595,0.3,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,39
15597,0.5,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,88
15599,0.7,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,153
15601,0.3,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,41
15603,0.5,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,94
15605,0.7,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,178
15607,0.3,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,20
15609,0.5,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,29
15611,0.7,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,43
15613,0.3,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,19
15615,0.5,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,27
15617,0.7,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,43
15619,0.3,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,15
15621,0.5,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,26
15623,0.7,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,47
15625,0.3,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,155
15627,0.5,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,199
15629,0.7,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,257
15631,0.3,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,172
15633,0.5,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,231
15635,0.7,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,310
15637,0.3,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,214
15639,0.5,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,298
15641,0.7,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,372
15643,0.3,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,128
15645,0.5,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,143
15647,0.7,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,159
15649,0.3,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,135
15651,0.5,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,153
15653,0.7,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,176
15655,0.3,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,166
15657,0.5,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,189
15659,0.7,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,210
15661,0.3,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,44
15663,0.5,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,85
15665,0.7,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,150
15667,0.3,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,48
15669,0.5,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,102
15671,0.7,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,194
15673,0.3,Goed,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,69
15675,0.5,Goed,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,177
15677,0.7,Goed,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,337
15679,0.3,Slecht,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,25
15681,0.5,Slecht,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,32
15683,0.7,Slecht,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,47
15685,0.3,Matig,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,23
15687,0.5,Matig,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,34
15689,0.7,Matig,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,53
15691,0.3,Goed,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,32
15693,0.5,Goed,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,44
15695,0.7,Goed,0.3,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,70
15697,0.3,Slecht,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,42
15699,0.5,Slecht,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,77
15701,0.7,Slecht,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,124
15703,0.3,Matig,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,39
15705,0.5,Matig,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,88
15707,0.7,Matig,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,153
15709,0.3,Goed,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,41
15711,0.5,Goed,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,94
15713,0.7,Goed,0.6,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,178
15715,0.3,Slecht,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,20
15717,0.5,Slecht,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,29
15719,0.7,Slecht,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,43
15721,0.3,Matig,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,19
15723,0.5,Matig,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,27
15725,0.7,Matig,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,43
15727,0.3,Goed,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,15
15729,0.5,Goed,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,26
15731,0.7,Goed,0.3,21:00 tot 7:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,47
15733,0.3,Slecht,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,155
15735,0.5,Slecht,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,199
15737,0.7,Slecht,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,257
15739,0.3,Matig,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,172
15741,0.5,Matig,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,231
15743,0.7,Matig,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,310
15745,0.3,Goed,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,214
15747,0.5,Goed,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,298
15749,0.7,Goed,0.6,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,372
15751,0.3,Slecht,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,128
15753,0.5,Slecht,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,143
15755,0.7,Slecht,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,159
15757,0.3,Matig,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,135
15759,0.5,Matig,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,153
15761,0.7,Matig,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,176
15763,0.3,Goed,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,166
15765,0.5,Goed,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,189
15767,0.7,Goed,0.3,8:00 tot 22:00,Binnen goed,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,210
15769,0.3,Slecht,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,44
15771,0.5,Slecht,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,85
15773,0.7,Slecht,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,150
15775,0.3,Matig,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,48
15777,0.5,Matig,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,102
15779,0.7,Matig,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,194
15781,0.3,Goed,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,69
15783,0.5,Goed,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,177
15785,0.7,Goed,0.6,TO-juli,Buiten,Noord,Tussenappartement enkelzijdig,2,LIVINGROOM,337
