,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Woningtype,Oriëntatie,Klimaatbestand,Ruimtetype,GTO
75,0.5,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,73
76,0.7,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
77,0.7,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,97
78,0.3,Matig,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
79,0.3,Matig,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,65
80,0.5,Matig,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
81,0.5,Matig,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,86
82,0.7,Matig,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
83,0.7,Matig,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,116
84,0.3,Goed,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
85,0.3,Goed,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,80
86,0.5,Goed,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
87,0.5,Goed,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,109
88,0.7,Goed,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
89,0.7,Goed,0.6,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,148
90,0.3,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
91,0.3,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,42
92,0.5,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
93,0.5,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,49
94,0.7,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
95,0.7,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,58
96,0.3,Matig,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
97,0.3,Matig,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,48
98,0.5,Matig,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
99,0.5,Matig,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,55
100,0.7,Matig,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
101,0.7,Matig,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,67
102,0.3,Goed,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
103,0.3,Goed,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,63
104,0.5,Goed,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
105,0.5,Goed,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,68
106,0.7,Goed,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
107,0.7,Goed,0.3,8:00 tot 22:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,80
108,0.3,Slecht,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
109,0.3,Slecht,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
110,0.5,Slecht,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
111,0.5,Slecht,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,11
112,0.7,Slecht,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
113,0.7,Slecht,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,32
114,0.3,Matig,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
115,0.3,Matig,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
116,0.5,Matig,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
117,0.5,Matig,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,16
118,0.7,Matig,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
119,0.7,Matig,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,41
120,0.3,Goed,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
121,0.3,Goed,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,8
122,0.5,Goed,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
123,0.5,Goed,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,29
124,0.7,Goed,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
125,0.7,Goed,0.6,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,76
126,0.3,Slecht,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
127,0.3,Slecht,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
128,0.5,Slecht,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
129,0.5,Slecht,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
130,0.7,Slecht,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
131,0.7,Slecht,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
132,0.3,Matig,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
133,0.3,Matig,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
134,0.5,Matig,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
135,0.5,Matig,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
136,0.7,Matig,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
137,0.7,Matig,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
138,0.3,Goed,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
139,0.3,Goed,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
140,0.5,Goed,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
141,0.5,Goed,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
142,0.7,Goed,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
143,0.7,Goed,0.3,TO-juli,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,8
144,0.3,Slecht,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
145,0.3,Slecht,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
146,0.5,Slecht,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
147,0.5,Slecht,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,11
148,0.7,Slecht,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
149,0.7,Slecht,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,33
150,0.3,Matig,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
151,0.3,Matig,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
152,0.5,Matig,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
153,0.5,Matig,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,16
154,0.7,Matig,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
155,0.7,Matig,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,39
156,0.3,Goed,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
157,0.3,Goed,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
158,0.5,Goed,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
159,0.5,Goed,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,22
160,0.7,Goed,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
161,0.7,Goed,0.6,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,59
162,0.3,Slecht,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
163,0.3,Slecht,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
164,0.5,Slecht,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
165,0.5,Slecht,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
166,0.7,Slecht,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
167,0.7,Slecht,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
168,0.3,Matig,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
169,0.3,Matig,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
170,0.5,Matig,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
171,0.5,Matig,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
172,0.7,Matig,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
173,0.7,Matig,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
174,0.3,Goed,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
175,0.3,Goed,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
176,0.5,Goed,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
177,0.5,Goed,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
178,0.7,Goed,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
179,0.7,Goed,0.3,21:00 tot 7:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,4
180,0.3,Slecht,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
181,0.3,Slecht,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,55
182,0.5,Slecht,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
183,0.5,Slecht,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,73
184,0.7,Slecht,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
185,0.7,Slecht,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,97
186,0.3,Matig,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
187,0.3,Matig,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,65
188,0.5,Matig,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
189,0.5,Matig,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,86
190,0.7,Matig,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
191,0.7,Matig,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,116
192,0.3,Goed,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
193,0.3,Goed,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,80
194,0.5,Goed,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
195,0.5,Goed,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,109
196,0.7,Goed,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
197,0.7,Goed,0.6,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,148
198,0.3,Slecht,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
199,0.3,Slecht,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,42
200,0.5,Slecht,0.3,8:00 tot 22:00,Binnen goed,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
